row_index,record_id,target_class,split
394,395,0,train
395,396,0,train
396,397,0,test
397,398,0,train
398,399,0,test
399,400,0,train
400,401,0,train
401,402,0,train
402,403,0,test
403,404,0,test
404,405,0,train
405,406,0,train
406,407,0,train
407,408,0,train
408,409,0,test
409,410,0,test
410,411,0,train
411,412,0,train
412,413,0,test
413,414,0,train
414,415,0,train
415,416,0,test
416,417,0,train
417,418,0,train
418,419,0,train
419,420,0,train
420,421,0,train
421,422,0,train
422,423,0,train
423,424,0,train
424,425,0,train
425,426,0,train
426,427,0,train
427,428,0,train
428,429,0,train
429,430,0,train
430,431,0,train
431,432,0,train
432,433,0,test
433,434,0,train
434,435,0,test
435,436,0,train
436,437,0,train
437,438,0,train
438,439,0,train
439,440,0,train
440,441,0,train
441,442,0,train
442,443,0,test
443,444,0,train
444,445,0,train
445,446,0,test
446,447,0,train
447,448,0,test
448,449,0,test
449,450,0,train
450,451,0,train
451,452,0,train
452,453,0,test
453,454,0,train
454,455,0,test
455,456,0,train
456,457,0,train
457,458,0,train
458,459,0,test
459,460,0,train
460,461,0,train
461,462,0,train
462,463,0,train
463,464,0,train
464,465,0,train
465,466,0,train
466,467,0,train
467,468,0,test
468,469,0,train
469,470,0,test
470,471,0,train
471,472,0,train
472,473,0,train
473,474,0,train
474,475,0,train
475,476,0,train
476,477,0,train
477,478,0,train
478,479,0,test
479,480,0,train
480,481,0,train
481,482,0,train
482,483,0,test
483,484,0,test
484,485,0,test
485,486,0,train
486,487,0,train
487,488,0,test
488,489,0,train
489,490,0,train
490,491,0,train
491,492,1,train
492,493,1,train
493,494,1,test
494,495,1,train
495,496,1,train
496,497,1,train
497,498,1,test
498,499,1,train
499,500,1,train
500,501,1,train
501,502,1,train
502,503,1,train
503,504,1,train
504,505,1,test
505,506,1,train
506,507,1,train
507,508,1,train
508,509,1,train
509,510,1,train
510,511,1,train
511,512,1,test
512,513,1,train
513,514,1,train
514,515,1,train
515,516,1,train
516,517,1,train
517,518,1,train
518,519,1,train
519,520,1,train
520,521,1,train
521,522,1,test
522,523,1,train
523,524,1,train
524,525,1,test
525,526,1,test
526,527,1,train
527,528,1,test
528,529,1,test
529,530,1,test
530,531,1,train
531,532,1,test
532,533,1,train
533,534,1,train
534,535,1,train
535,536,1,train
536,537,1,train
537,538,1,train
538,539,1,train
539,540,1,train
540,541,1,train
541,542,1,test
542,543,1,train
543,544,1,train
544,545,1,train
545,546,1,train
546,547,1,train
547,548,1,train
548,549,1,train
549,550,1,train
550,551,1,train
551,552,1,train
552,553,1,test
553,554,1,test
554,555,1,train
555,556,1,test
556,557,1,train
557,558,1,test
558,559,1,train
559,560,1,test
560,561,1,train
561,562,1,test
562,563,1,test
563,564,1,train
564,565,1,test
565,566,1,train
566,567,1,train
567,568,1,train
568,569,1,train
569,570,1,train
570,571,1,train
571,572,1,train
572,573,1,test
573,574,1,train
574,575,1,train
575,576,1,test
576,577,1,train
577,578,1,train
578,579,1,train
579,580,1,test
580,581,1,test
581,582,1,train
582,583,1,test
583,584,1,train
584,585,1,train
585,586,1,train
586,587,1,train
587,588,1,train
588,589,1,train
589,590,1,test
590,591,1,train
591,592,1,train
592,593,1,train
593,594,1,test
594,595,1,train
595,596,1,train
596,597,1,train
597,598,1,train
598,599,1,train
599,600,3,train
600,601,1,train
601,602,2,train
602,603,1,train
603,604,0,train
604,605,1,train
605,606,2,train
606,607,1,train
607,608,2,train
608,609,2,train
609,610,1,train
610,611,2,test
611,612,3,train
612,613,4,train
613,614,2,train
614,615,0,train
615,616,1,train
616,617,1,train
617,618,1,train
618,619,3,test
619,620,2,train
620,621,1,train
621,622,2,train
622,623,1,train
623,624,3,train
624,625,3,train
625,626,1,train
626,627,2,train
627,628,4,train
628,629,3,train
629,630,2,train
630,631,1,train
631,632,2,train
632,633,2,train
633,634,2,train
634,635,2,test
635,636,2,train
636,637,2,train
637,638,3,train
638,639,0,train
639,640,1,train
640,641,1,train
641,642,1,train
642,643,4,train
643,644,2,train
644,645,0,train
645,646,2,train
646,647,3,train
647,648,1,test
648,649,0,train
649,650,1,train
650,651,4,test
651,652,2,train
652,653,0,train
653,654,2,train
654,655,2,train
655,656,1,train
656,657,2,test
657,658,2,train
658,659,3,train
659,660,1,train
660,661,1,test
661,662,3,train
662,663,2,test
663,664,3,train
664,665,2,train
665,666,1,train
666,667,1,test
667,668,4,train
668,669,1,train
669,670,1,train
670,671,3,train
671,672,2,train
672,673,1,train
673,674,1,test
674,675,1,train
675,676,3,train
676,677,1,test
677,678,3,train
678,679,3,test
679,680,1,test
680,681,3,test
681,682,1,train
682,683,1,train
683,684,3,test
684,685,3,train
685,686,3,train
686,687,1,test
687,688,2,test
688,689,2,test
689,690,2,train
690,691,1,train
691,692,1,train
692,693,3,train
693,694,2,train
694,695,1,train
695,696,3,train
696,697,1,train
697,698,2,train
698,699,3,train
699,700,3,train
700,701,1,train
701,702,3,train
702,703,1,train
703,704,1,train
704,705,1,train
705,706,3,train
706,707,0,train
707,708,3,train
708,709,1,train
709,710,3,train
710,711,2,train
711,712,3,test
712,713,1,train
713,714,1,test
714,715,3,test
715,716,1,train
716,717,3,train
717,718,0,test
718,719,1,train
719,720,1,train
720,721,2,train
721,722,0,train
722,723,2,train
723,724,1,train
724,725,0,train
725,726,0,train
726,727,3,train
727,728,0,test
728,729,3,train
729,730,1,train
730,731,0,train
731,732,1,train
732,733,1,train
733,734,1,train
734,735,1,train
735,736,0,train
736,737,4,train
737,738,1,train
738,739,0,train
739,740,0,train
740,741,2,train
741,742,1,train
742,743,3,train
743,744,0,train
744,745,2,test
745,746,2,test
746,747,2,train
747,748,1,test
748,749,1,train
749,750,3,train
750,751,3,train
751,752,3,train
752,753,3,train
753,754,3,train
754,755,2,train
755,756,3,train
756,757,2,test
757,758,0,train
758,759,1,train
759,760,0,train
760,761,3,train
761,762,1,train
762,763,3,train
763,764,0,train
764,765,4,train
765,766,2,train
766,767,1,train
767,768,0,test
768,769,2,train
769,770,0,train
770,771,1,train
771,772,0,test
772,773,2,train
773,774,0,test
774,775,1,train
775,776,2,train
776,777,2,train
777,778,3,train
778,779,0,train
779,780,1,train
780,781,0,train
781,782,2,train
782,783,1,train
783,784,4,train
784,785,2,train
785,786,2,train
786,787,3,train
787,788,1,test
788,789,1,train
789,790,1,test
790,791,0,train
791,792,2,train
792,793,0,train
793,794,3,test
794,795,3,train
795,796,1,train
796,797,2,train
797,798,3,test
798,799,2,train
799,800,1,train
800,801,0,train
801,802,2,train
802,803,2,train
803,804,2,test
804,805,4,test
805,806,2,train
806,807,3,test
807,808,0,train
808,809,1,test
809,810,1,train
810,811,3,train
811,812,0,train
812,813,3,train
813,814,1,train
814,815,0,train
815,816,3,train
816,817,0,train
817,818,1,train
818,819,1,train
819,820,0,test
820,821,1,train
821,822,3,train
822,823,1,train
823,824,1,test
824,825,0,train
825,826,3,train
826,827,1,train
827,828,1,train
828,829,0,train
829,830,0,train
830,831,3,test
831,832,0,train
832,833,3,train
833,834,1,train
834,835,1,train
835,836,3,train
836,837,2,test
837,838,2,train
838,839,3,test
839,840,1,train
840,841,2,train
841,842,3,train
842,843,1,test
843,844,0,train
844,845,1,test
845,846,4,train
846,847,1,train
847,848,2,train
848,849,0,train
849,850,0,train
850,851,1,train
851,852,3,train
852,853,1,train
853,854,0,train
854,855,3,train
855,856,0,test
856,857,3,train
857,858,3,train
858,859,0,train
859,860,2,train
860,861,0,train
861,862,4,train
862,863,2,train
863,864,4,test
864,865,0,train
865,866,0,train
866,867,0,train
867,868,1,train
868,869,3,train
869,870,3,test
870,871,0,train
871,872,3,train
872,873,1,train
873,874,1,test
874,875,2,train
875,876,2,train
876,877,2,train
877,878,2,train
878,879,2,test
879,880,1,train
880,881,4,train
881,882,3,test
882,883,3,test
883,884,3,train
884,885,1,train
885,886,3,test
886,887,2,test
887,888,0,test
888,889,2,test
889,890,1,train
890,891,1,train
891,892,0,train
892,893,3,train
893,894,1,test
894,895,0,train
895,896,0,test
896,897,4,test
897,898,2,train
898,899,3,test
899,900,1,train
900,901,1,train
901,902,0,train
902,903,1,train
903,904,1,train
904,905,0,train
905,906,1,train
906,907,3,test
907,908,2,train
908,909,2,test
909,910,0,train
910,911,0,test
911,912,4,train
912,913,3,train
913,914,1,train
914,915,2,train
915,916,1,train
916,917,0,train
917,918,2,train
918,919,0,test
919,920,1,test
